project_name,investment,expected_revenue,risk_score,alignment_score,duration_months
Smart Platform 1,2250496.45,3012879.3,2,1,27
Smart Suite 2,192169.77,193347.68,2,5,25
Digital Framework 3,2176456.88,5099253.34,10,2,20
Data Platform 4,2300541.36,2648499.39,4,3,14
Cloud Framework 5,2875917.91,4430374.54,5,4,9
NextGen Engine 6,1850805.49,4767086.76,10,5,9
Enterprise System 7,1700917.83,4464382.47,9,5,12
Smart Platform 8,2017663.62,5045673.01,7,2,33
Smart Suite 9,906123.45,1992117.64,9,2,17
NextGen Framework 10,2043508.01,4789992.35,7,5,26
Cloud Framework 11,573867.23,938159.28,6,3,32
Digital Framework 12,2483227.52,6384628.17,10,3,8
AI Engine 13,716616.98,1360360.29,8,2,14
Cloud Framework 14,2260468.05,4488724.51,8,5,18
NextGen Framework 15,2992244.76,3304425.17,4,1,30
Digital System 16,543239.83,625790.77,6,4,25
Smart Suite 17,1206695.93,3609791.1,9,5,33
Digital System 18,2076960.07,4115153.11,7,3,9
Data Suite 19,558657.49,450914.63,6,3,22
Cloud System 20,2624503.85,3822795.99,6,5,25
AI Solution 21,1184350.17,1368407.52,5,1,25
NextGen Gateway 22,156482.55,445039.03,9,2,7
AI System 23,348395.01,651212.64,5,5,30
Cloud Solution 24,2013277.39,5804413.79,8,3,22
Enterprise Framework 25,2793849.13,6877292.73,8,3,18
NextGen Gateway 26,2708880.85,4857753.43,6,2,8
NextGen Platform 27,1806095.28,2359216.32,2,1,8
Digital Framework 28,295460.95,256787.63,3,1,22
AI Hub 29,2040035.56,2593540.0,2,5,24
Secure Framework 30,2375396.33,6120192.96,8,1,9
Enterprise Engine 31,1328378.01,2427550.06,5,1,7
Enterprise Engine 32,2421718.28,2519536.01,2,2,23
Secure Solution 33,1323456.76,1869778.8,2,1,20
Smart Platform 34,1991220.19,3961121.31,5,1,35
AI Solution 35,1278600.77,2376904.15,8,1,11
Enterprise Platform 36,2957395.65,4091399.33,4,3,19
Secure Solution 37,650703.82,832212.42,1,5,29
Digital Engine 38,265779.29,554200.51,8,1,36
Smart Solution 39,298711.86,283631.07,2,4,9
AI Platform 40,1896206.38,3265826.41,7,3,12
NextGen Framework 41,870282.09,946807.92,6,3,20
NextGen System 42,127014.82,275184.02,7,1,23
AI Hub 43,484124.05,759019.1,5,2,17
Data Solution 44,1370735.26,2734725.84,7,5,31
Digital Hub 45,2802092.51,2880243.73,2,3,9
Smart Solution 46,889809.82,1895851.59,9,2,27
Data Gateway 47,828251.63,2317406.57,7,1,26
Enterprise Hub 48,227851.61,349484.35,6,3,11
Secure Suite 49,1726629.91,1806266.46,6,2,23
Digital Engine 50,1789277.74,2014380.21,2,1,15
NextGen Platform 51,2706881.45,3416540.18,2,1,17
Enterprise Solution 52,2784715.09,3678113.31,2,2,34
Enterprise Platform 53,620145.92,1757414.2,10,2,14
Cloud System 54,1209371.0,1070528.11,4,2,12
Secure Engine 55,985053.52,2511650.15,8,2,6
AI Suite 56,1051959.66,2841949.46,9,3,26
Enterprise Engine 57,2823787.71,2975571.53,3,2,24
Data Platform 58,414367.39,727645.82,7,4,25
Smart Suite 59,2708563.73,3299500.02,1,4,6
AI Engine 60,1350762.46,3900358.84,9,5,16
Smart Hub 61,1570655.26,3560933.68,9,4,28
Data Solution 62,656336.27,1485187.09,10,2,25
Data Suite 63,1689017.92,1352722.74,3,2,19
NextGen Gateway 64,1381179.45,3157900.95,10,2,27
Smart Hub 65,1594810.83,3496574.71,9,1,32
AI Hub 66,751457.93,930369.43,1,1,13
Secure System 67,1420706.89,3906235.29,8,4,21
Enterprise Framework 68,527956.9,1221042.52,7,4,13
Cloud Gateway 69,245633.32,331171.73,1,4,10
Secure Engine 70,2855114.86,7883363.4,10,5,20
Cloud Gateway 71,1405202.3,3448238.46,9,5,21
AI Hub 72,1375630.52,3259967.42,8,3,16
NextGen System 73,501284.78,656069.11,6,2,28
AI System 74,1303116.9,1991083.21,8,4,7
AI Suite 75,1229482.76,3065777.59,7,5,18
Secure Platform 76,2833950.81,4128918.49,4,4,23
AI Gateway 77,736322.74,1295073.26,5,4,16
Enterprise Solution 78,2537466.42,7163246.31,7,4,24
Digital System 79,1963973.98,2157501.76,4,2,7
Data Suite 80,1049322.73,1889136.13,7,4,14
Enterprise Hub 81,2521241.65,4625659.13,5,3,13
Smart Platform 82,2287276.29,6608274.72,8,1,25
Cloud Framework 83,466040.83,1059222.0,8,4,28
Data Engine 84,586588.52,1252920.51,7,2,36
Data System 85,1778185.72,5056363.16,10,4,36
AI System 86,1817083.8,4773947.21,8,1,28
Data System 87,2409058.93,4926649.87,7,3,23
Enterprise Engine 88,299974.54,667321.9,7,4,32
Secure System 89,1357217.86,2167224.06,8,2,19
Cloud Hub 90,1886145.83,5324889.27,10,4,19
Data Engine 91,2569968.16,6752869.53,7,3,34
Secure Framework 92,2276381.22,4674934.04,10,3,6
Secure Engine 93,627335.59,794623.2,3,3,14
