department,data_quality,automation_level,analytics_capability,it_infra_rating
IT Department,4,4,5,5
IT Department,4,4,3,4
IT Department,4,5,3,4
IT Department,4,4,3,4
IT Department,4,5,3,5
IT Department,5,4,3,5
IT Department,5,5,3,4
IT Department,5,4,3,5
IT Department,4,5,4,5
IT Department,4,5,5,4
Finance Department,4,2,4,4
Finance Department,5,4,3,5
Finance Department,3,4,2,3
Finance Department,5,2,3,3
Finance Department,3,2,3,4
Finance Department,4,4,3,3
Finance Department,4,3,2,5
Finance Department,4,4,4,5
Finance Department,3,4,4,3
Finance Department,5,4,2,3
HR Department,4,2,2,4
HR Department,2,3,2,2
HR Department,2,1,2,3
HR Department,3,1,1,4
HR Department,3,1,3,3
HR Department,4,3,2,2
HR Department,3,1,1,4
HR Department,3,3,3,3
HR Department,4,2,1,2
HR Department,4,1,1,2
Marketing Department,2,3,1,4
Marketing Department,4,3,1,3
Marketing Department,4,3,2,4
Marketing Department,3,3,1,4
Marketing Department,1,3,3,3
Marketing Department,3,1,2,3
Marketing Department,2,2,1,4
Marketing Department,3,3,1,4
Marketing Department,1,3,2,4
Marketing Department,2,1,2,2
Operations Department,1,3,2,3
Operations Department,1,1,2,3
Operations Department,2,1,1,4
Operations Department,1,1,3,3
Operations Department,1,3,1,2
Operations Department,4,3,1,3
Operations Department,4,1,3,4
Operations Department,2,3,2,3
Operations Department,3,2,3,3
Operations Department,1,1,1,2
Sales Department,4,2,4,5
Sales Department,3,4,2,3
Sales Department,3,4,4,3
Sales Department,3,2,2,4
Sales Department,3,4,2,4
Sales Department,5,3,2,5
Sales Department,3,4,4,5
Sales Department,4,2,3,4
Sales Department,3,2,2,5
Sales Department,4,3,3,4
R&D Department,4,3,1,4
R&D Department,1,1,2,4
R&D Department,3,1,1,2
R&D Department,2,3,2,2
R&D Department,4,1,2,3
R&D Department,2,1,2,4
R&D Department,1,1,3,4
R&D Department,1,1,1,2
R&D Department,4,2,2,2
R&D Department,4,1,1,3
Customer Support,1,2,2,3
Customer Support,3,2,3,4
Customer Support,4,1,1,3
Customer Support,2,1,3,4
Customer Support,1,3,2,2
Customer Support,1,3,2,4
Customer Support,2,1,3,2
Customer Support,2,1,3,2
Customer Support,2,2,1,4
Customer Support,2,3,3,2
