,Наименование,Магазин № 3,Магазин № 4,Магазин № 5,Магазин № 6,Магазин № 7,Магазин № 8,Магазин № 9
0,"Меновазин, раствор для наружного применения спиртовой, 40 мл, 1 шт.",,,41.0,35.0,,36.0,
1,"Супрастин, 25 мг, таблетки, 20 шт.",158.0,159.0,,,159.0,159.0,159.0
2,"Акридерм, 0.05%, мазь для наружного применения, 15 г, 1 шт.",98.0,98.0,98.0,98.0,,98.0,98.0
3,"Ацикловир-Акрихин, 200 мг, таблетки, 20 шт.",103.0,,,,,103.0,103.0
4,"Синафлан-Акрихин, 0.025%, мазь для наружного применения, 10 г, 1 шт.",108.0,108.0,115.0,,,108.0,
5,"Ацикловир-Акрихин, 400 мг, таблетки, 20 шт.",,342.0,370.0,357.0,370.0,370.0,
6,"Цетрин, 10 мг, таблетки, покрытые пленочной оболочкой, 20 шт.",167.0,167.0,,,167.0,,167.0
7,"Комфодерм K, 0.1%, крем для наружного применения, 30 г, 1 шт.",961.0,961.0,961.0,,961.0,915.0,915.0
8,"Акридерм ГК, крем для наружного применения, 30 г, 1 шт.",,1344.0,1344.0,1344.0,1344.0,1280.0,1275.0
9,"Акридерм, 0.05%, мазь для наружного применения, 30 г, 1 шт.",147.0,147.0,147.0,147.0,,147.0,147.0
10,"Клотримазол-Акрихин, 1%, мазь для наружного применения, 20 г, 1 шт.",,220.0,226.0,226.0,226.0,,220.0
11,"Комфодерм K, 0.1%, крем для наружного применения, 15 г, 1 шт.",636.0,635.0,668.0,636.0,636.0,636.0,668.0
12,"Акридерм ГК, мазь для наружного применения, 15 г, 1 шт.",,928.0,915.0,928.0,928.0,915.0,928.0
13,"Диазолин, 100 мг, таблетки, 10 шт.",121.0,,102.0,,,,102.0
14,"Экзодерил, 1%, раствор для наружного применения, 20 мл, 1 шт.",1330.0,,1360.0,,1318.0,1331.0,1333.0
15,"Флюкостат, 150 мг, капсулы, противогрибковое средство от молочницы, 1 шт.",,178.0,,,,,
16,"Акридерм СК, мазь для наружного применения, 30 г, 1 шт.",655.0,656.0,656.0,656.0,656.0,656.0,625.0
17,"Акридерм СК, мазь для наружного применения, 15 г, 1 шт.",,391.0,411.0,411.0,,386.0,390.0
18,"Акридерм Гента, 0.05%+0.1%, крем для наружного применения, 30 г, 1 шт.",641.0,611.0,641.0,611.0,,611.0,590.0
19,"Димедрол, 50 мг, таблетки, 20 шт.",,,34.0,,36.0,,
20,"Лоратадин-Акрихин, 10 мг, таблетки, 30 шт.",,,328.0,,,328.0,327.0
21,"Кандидерм, крем для наружного применения, 30 г, 1 шт.",,1383.0,1532.0,1372.0,1463.0,1455.0,1448.0
22,"Пирантел, 250 мг, таблетки, 3 шт.",,,,,,46.0,
23,"Череды трава, сырье растительное-порошок, 1.5 г, 20 шт.",,,,177.0,144.0,,
24,"Микозорал, 2%, мазь для наружного применения, 15 г, 1 шт.",,431.0,431.0,431.0,,431.0,
25,"Зодак, 10 мг, таблетки, покрытые пленочной оболочкой, 10 шт.",124.0,118.0,,117.0,,,
26,"Акридерм ГК, мазь для наружного применения, 30 г, 1 шт.",,1331.0,1344.0,1344.0,1280.0,1344.0,1344.0
27,"Акридерм ГК, крем для наружного применения, 15 г, 1 шт.",,,928.0,928.0,,928.0,915.0
28,"Акридерм Гента, крем для наружного применения, 15 г, 1 шт.",442.0,472.0,472.0,472.0,,442.0,472.0
29,"Диазолин, 50 мг, таблетки, 10 шт.",78.0,,74.0,92.0,,74.0,74.0
30,"Итраконазол, 100 мг, капсулы, 15 шт.",819.0,,,829.0,824.0,,883.0
31,"Экзодерил, 1%, крем для наружного применения, 30 г, 1 шт.",978.0,984.0,975.0,,1001.0,986.0,
32,"Экзодерил, 1%, раствор для наружного применения, 10 мл, 1 шт.",782.0,742.0,735.0,,740.0,742.0,
33,"Цетрин, 10 мг, таблетки, покрытые пленочной оболочкой, 30 шт.",,246.0,,,,250.0,
34,"Флуконазол, 50 мг, капсулы, 7 шт.",63.0,,,,,62.0,
35,"Флуконазол, 150 мг, капсулы, 2 шт.",58.0,,,,,,
36,"Комфодерм, 0.1%, мазь для наружного применения, 30 г, 1 шт.",868.0,,868.0,827.0,868.0,827.0,
37,"Кандидерм, крем для наружного применения, 15 г, 1 шт.",,869.0,933.0,,914.0,921.0,953.0
38,"Зодак, 10 мг, таблетки, покрытые пленочной оболочкой, 30 шт.",311.0,348.0,,318.0,,,345.0
39,"Акридерм Гента, мазь для наружного применения, 15 г, 1 шт.",,436.0,472.0,,,,442.0
40,"Акридерм, 0.05%, крем для наружного применения, 30 г, 1 шт.",166.0,164.0,,,,,164.0
41,"Эриус, 5 мг, таблетки, покрытые пленочной оболочкой, 10 шт.",921.0,,924.0,918.0,,922.0,
42,"Валацикловир Канон, 500 мг, таблетки, покрытые пленочной оболочкой, 10 шт.",476.0,474.0,,474.0,,473.0,480.0
43,"Цетиризин, 10 мг, таблетки, покрытые пленочной оболочкой, 10 шт.",,67.0,,,63.0,62.0,
44,"Триакорт, 0.1%, мазь для наружного применения, 10 г, 1 шт.",,180.0,180.0,,,,
45,"Зиртек, 10 мг, таблетки, покрытые пленочной оболочкой, 20 шт.",275.0,275.0,,,275.0,275.0,
46,"Экзодерил, 1%, крем для наружного применения, 15 г, 1 шт.",,616.0,649.0,,,618.0,
47,"Цинокап, 0.2%, крем для наружного применения, с Д-пантенолом при дерматите, псориазе, 25 г, 1 шт.",,615.0,604.0,622.0,,,
48,"Супрастинекс, 5 мг/мл, капли для приема внутрь, 20 мл, 1 шт.",454.0,461.0,486.0,478.0,460.0,,
49,"Ксизал (капли), 5 мг/мл, капли для приема внутрь, 10 мл, 1 шт.",,,613.0,,601.0,583.0,
50,"Комфодерм, 0.1%, мазь для наружного применения, 15 г, 1 шт.",,,579.0,,579.0,,579.0
51,"Комфодерм М2, 0.1%+2%, крем для наружного применения, 30 г, 1 шт.",,903.0,940.0,921.0,912.0,,887.0
52,"Кандид Б, 1%, крем для наружного применения, 15 г, 1 шт.",,,,,945.0,962.0,
53,"Зовиракс, 5%, крем для наружного применения, 5 г, 1 шт.",,209.0,,,213.0,,215.0
54,"Акридерм Гента, 0.05%+0.1%, мазь для наружного применения, 30 г, 1 шт.",,610.0,641.0,641.0,,641.0,611.0
55,"Троксевазин, 2%, гель для наружного применения, 40 г, 1 шт.",469.0,459.0,,488.0,,,
56,"Мометазон-Акрихин, 0.1%, крем для наружного применения, 30 г, 1 шт.",,183.0,183.0,183.0,,,
57,"Флуконазол, 150 мг, капсулы, 4 шт.",147.0,,,,,,
58,"Дермовейт, 0.5 мг/г, крем для наружного применения, 25 г, 1 шт.",,915.0,,851.0,,,819.0
59,"Постеризан форте, суппозитории ректальные, 10 шт.",790.0,750.0,,,766.0,,
60,"Элидел, 1%, крем для наружного применения, 15 г, 1 шт.",1030.0,1079.0,,,1079.0,,
61,"Чистотела трава, сырье растительное-порошок, 1.5 г, 20 шт.",154.0,126.0,,,132.0,,
62,"Флуконазол-Тева, 150 мг, капсулы, 1 шт.",166.0,,,,,,
63,"Тридерм, 0.5 мг/г+1 мг/г+10 мг/г, мазь для наружного применения, 15 г, 1 шт.",1251.0,1250.0,,,,,
64,"Термикон, 1%, спрей для наружного применения, спрей противогрибковый, 30 г, 1 шт.",,,,604.0,,,610.0
65,"Термикон, 1%, крем для наружного применения, противогрибковый, 15 г, 1 шт.",468.0,,,470.0,,470.0,
66,"Супрастинекс, 5 мг, таблетки, покрытые пленочной оболочкой, 7 шт.",411.0,411.0,,,,391.0,
67,"Ксизал, 5 мг, таблетки, покрытые пленочной оболочкой, 14 шт.",821.0,760.0,,760.0,,,
68,"Кестин, 20 мг, таблетки лиофилизированные, 10 шт.",,,,773.0,,,896.0
69,"Залаин, 2%, крем для наружного применения, 20 г, 1 шт.",,878.0,,,916.0,,
70,"Дайвонекс, 50 мкг/г, мазь для наружного применения, 30 г, 1 шт.",1552.0,,,1579.0,,,
71,"Ацикловир Сандоз (крем), 5%, крем для наружного применения, 2 г, 1 шт.",,,,,86.0,,
72,"Тербикс, 10 мг/г, спрей для наружного применения, 30 г, 1 шт.",306.0,,,307.0,270.0,,
73,"Салициловая мазь, 2%, мазь для наружного применения, 25 г, 1 шт.",,,,39.0,,,
74,"Фторокорт, 0.1%, мазь для наружного применения, 15 г, 1 шт.",,619.0,,471.0,496.0,,
75,"Кловейт, 0.05%, крем для наружного применения, 25 г, 1 шт.",,,,602.0,,575.0,
76,"Целестодерм-В с гарамицином, крем для наружного применения, 30 г, 1 шт.",,927.0,,,,,
77,"Белосалик лосьон, раствор для наружного применения, с насадкой-распылителем, 20 мл, 1 шт.",521.0,,,,,,535.0
78,"Череды трава, сырье растительное измельченное, 50 г, 1 шт.",,,,178.0,,,
79,"Цинокап, 0.2%, крем для наружного применения, с Д-пантенолом при дерматите, псориазе, 50 г, 1 шт.",,,917.0,977.0,,,
80,"Флюкостат, 50 мг, капсулы, противогрибковое средство от молочницы, 7 шт.",,,421.0,,,,421.0
81,"Флуконазол-Тева, 50 мг, капсулы, 7 шт.",428.0,,,,,419.0,
82,"Фенкарол, 10 мг, таблетки, 20 шт.",790.0,,780.0,787.0,,,
83,"Фенистил (капли), 1 мг/мл, капли для приема внутрь, 20 мл, 1 шт.",661.0,664.0,,,,,
84,"Скин-кап, 0.2%, крем для наружного применения, 50 г, 1 шт.",,,,3838.0,,,
85,"Скин-кап, 0.2%, крем для наружного применения, 15 г, 1 шт.",,,2023.0,2030.0,,,
86,"Радевит Актив, мазь для наружного применения, 35 г, 1 шт.",632.0,,603.0,,,,
87,"Ксизал, 5 мг, таблетки, покрытые пленочной оболочкой, 10 шт.",,602.0,,,,,
88,"Клотримазол-Тева, 1%, крем для наружного применения, 30 г, 1 шт.",440.0,,,439.0,,,
89,"Кларитин, 10 мг, таблетки, 10 шт.",,154.0,,,154.0,,
90,"Кандид, 1%, крем для наружного применения, 20 г, 1 шт.",597.0,,,561.0,,,
91,"Дипросалик, мазь для наружного применения, 30 г, 1 шт.",,,,1119.0,,,
92,"Дермовейт, 0.5 мг/г, мазь для наружного применения, 25 г, 1 шт.",,855.0,877.0,,,,
93,"Дайвобет, мазь для наружного применения, 15 г, 1 шт.",,,1675.0,,1653.0,,
94,"Белосалик лосьон, раствор для наружного применения, с насадкой-распылителем, 50 мл, 1 шт.",925.0,,,859.0,,,877.0
95,"Серная мазь простая, мазь для наружного применения, 30 г, 1 шт.",,179.0,,157.0,,,
96,"Дайвобет, мазь для наружного применения, 30 г, 1 шт.",,,2425.0,,2425.0,,
97,"Видестим, 0.5%, мазь для наружного применения, 35 г, 1 шт.",,,,,257.0,,
98,"Ацикловир Сандоз, 200 мг, таблетки, 25 шт.",,244.0,,,,,254.0
99,"Белосалик, мазь для наружного применения, 15 г, 1 шт.",442.0,445.0,,,,,
100,"Элидел, 1%, крем для наружного применения, 30 г, 1 шт.",1652.0,,,,,,
101,"Преднизолон (мазь), 5 мг/г, мазь для наружного применения, 10 г, 1 шт.",32.0,,15.0,32.0,,,
102,"Белодерм, 0.05%, мазь для наружного применения, 15 г, 1 шт.",,106.0,,,,,
103,"Экзифин, 1%, крем для наружного применения, 10 г, 1 шт.",,299.0,,301.0,,,
104,"Флуцинар, 0.025%, гель для наружного применения, 15 г, 1 шт.",,453.0,,,,,
105,"Прополис, мазь для наружного применения гомеопатическая, 30 г, 1 шт.",,,173.0,,,,
106,"Кандид, 1%, порошок для наружного применения, 30 г, 1 шт.",,615.0,,,,,
107,"Белодерм Экспресс, 0.05%, спрей для наружного применения, 50 мл, 1 шт.",,830.0,,,,,
108,"Экзодерил, 1%, раствор для наружного применения, 30 мл, 1 шт.",,1694.0,1694.0,,,,
109,"Цинокап, 0.2%, аэрозоль для наружного применения, от перхоти (дерматита, псориаза), 58 г, 1 шт.",,1302.0,,,,,
110,"Целестодерм-В, 0.1%, крем для наружного применения, 30 г, 1 шт.",,,,357.0,,,
111,"Целестодерм-В, 0.1%, мазь для наружного применения, 15 г, 1 шт.",,240.0,,241.0,,,
112,"Фенистил, 0.1%, гель для наружного применения, 50 г, 1 шт.",,997.0,,,,,
113,"Термикон, 1%, спрей для наружного применения, спрей противогрибковый, 15 г, 1 шт.",,,,438.0,,,
114,"Тавегил, 1 мг, таблетки, 20 шт.",393.0,372.0,,,,,
115,"Супрастинекс, 5 мг, таблетки, покрытые пленочной оболочкой, 14 шт.",619.0,,602.0,,,,
116,"Нафтадерм, 10%, линимент, 35 г, 1 шт.",,,,,,,
117,"Лактофильтрум, таблетки, сорбент + пребиотик, 30 шт.",,,,493.0,,,
118,"Дифлюкан, 50 мг, капсулы, 7 шт.",459.0,,,,,494.0,
119,"Дифлюкан, 150 мг, капсулы, 4 шт.",675.0,679.0,,,,,
120,"Диазолин, 50 мг, драже, 10 шт.",,,,,65.0,,
121,"Валвир, 1000 мг, таблетки, покрытые пленочной оболочкой, 7 шт.",,,1871.0,,,,
122,"Белодерм Экспресс, 0.05%, спрей для наружного применения, 20 мл, 1 шт.",,,534.0,,,,
123,"Ацикловир Сандоз (крем), 5%, крем для наружного применения, 5 г, 1 шт.",174.0,,,,174.0,,
124,"Ацикловир, 400 мг, таблетки, 20 шт.",262.0,,,,,,
125,"Гиоксизон, 1%+3%, мазь для наружного применения, 10 г, 1 шт.",,,,,,,
126,"Белодерм, 0.05%, мазь для наружного применения, 30 г, 1 шт.",,,,,190.0,,
127,"Белодерм, 0.05%, крем для наружного применения, 30 г, 1 шт.",,165.0,,,,,
128,"Белодерм, 0.05%, крем для наружного применения, 15 г, 1 шт.",92.0,,,,,,
129,"Скин-кап, 0.2%, аэрозоль для наружного применения, 70 г, 1 шт.",,,5748.0,,,,
