,Наименование,Цена,Производитель
0,Аллегра таб. п/о 120мг №10,787 ₽,Опелла Хелскеа
1,Аллегра таб. п/о 180мг №10,911 ₽,Опелла Хелскеа
2,Аллервэй таб. п/о 5мг №10,351 ₽,Др.Реддис
3,Аллервэй таб. п/о 5мг №30,619 ₽,Др.Реддис
4,Аллервэй Экспресс таб. дисперг. в полости рта 5мг N10,493 ₽,Др.Реддис
5,Блогир-3 таб. д/рассас. 5мг №10,358 ₽,Белупо
6,Блогир-3 таб. д/рассас. 5мг №30,621 ₽,Белупо
7,Дезал таб. п/о 5мг №10,389 ₽,Тева
8,Дезал таб. п/о 5мг №30,650 ₽,Тева
9,Дезлоратадин-АКОС таб. п/п/о 5мг №10,425 ₽,Алиум
10,Дезлоратадин Велфарм таб. п/п/о 5мг №10,395 ₽,Велфарм
11,Димедрол таб. 50мг №20,31 ₽,Дальхимфарм
12,Зиртек таб. п/о 10мг №20,218 ₽,ЮСБ
13,Зиртек таб. п/о 10мг №30,311 ₽,ЮСБ
14,Зодак таб п.о. 10мг №10,115 ₽,Опелла Хелскеа
15,Зодак таб. п/о 10мг №30,313 ₽,Опелла Хелскеа
16,Кальция глюконат таб. 500мг №20,33 ₽,Фармстандарт
17,Кестин таб. лиоф. 20мг №10,764 ₽,Зентива Фарма
18,Кестин таб. п.о 10мг №10,659 ₽,Зентива Фарма
19,Кестин таб. п.о 10мг №5,325 ₽,Зентива Фарма
20,Кестин таб. п.о 20мг №10,682 ₽,Зентива Фарма
21,Кетотифен Софарма таб. 1мг №30,148 ₽,Софарма
22,Кетотифен таб. 1мг №30,118 ₽,Озон МНН
23,Кларитин таб. 10мг №10,142 ₽,Байер Консъюмер
24,Кларитин таб. 10мг №30,432 ₽,Байер Консъюмер
25,Клемастин таб. 1мг №20,245 ₽,Озон МНН
26,Ксизал таб. п.о 5мг №10,535 ₽,ЮСБ
27,Ксизал таб. п.о 5мг №14,722 ₽,ЮСБ
28,Ксизал таб. п/о 5мг №7,426 ₽,ЮСБ
29,Левоцетиризин-ВЕРТЕКС таб п/п/о 5мг №10,240 ₽,Вертекс ЛС
30,Левоцетиризин-ВЕРТЕКС таб п/п/о 5мг №30,400 ₽,Вертекс ЛС
31,Левоцетиризин таб. п/п/о 5мг №10,320 ₽,Озон МНН
32,Левоцетиризин таб. п/п/о 5мг №14,344 ₽,Озон МНН
33,Левоцетиризин таб. п/п/о 5мг №30,490 ₽,Озон МНН
34,Ломилан таб. 10мг №10,139 ₽,Сандоз
35,Лоратадин-Акрихин таб. 10мг №10,129 ₽,Акрихин
36,Лоратадин-Акрихин таб. 10мг №30,322 ₽,Акрихин
37,Лоратадин-Тева таб. 10мг №10,143 ₽,Тева
38,Лоратадин-Тева таб. 10мг №30,285 ₽,Тева
39,Лоратадин-Тева таб. 10мг №7,99 ₽,Тева
40,Лоратадин-Штада таб. 10мг №10,55 ₽,Штада
41,Лордестин таб. п/о 5мг №10,543 ₽,Гедеон Рихтер
42,Лордестин таб. п/о 5мг №30,1 137 ₽,Гедеон Рихтер
43,Монтлезир таб. п/п/о 5мг+10мг №10,640 ₽,Гленмарк
44,Монтлезир таб. п/п/о 5мг+10мг №30,1 586 ₽,Гленмарк
45,Никсар таб. 20мг №10,699 ₽,Берлин-Хеми
46,Никсар таб. 20мг №30,1 599 ₽,Берлин-Хеми
47,Ринитал таб. гомеопат. №100,1 335 ₽,Альпен Фарма
48,Сталораль аллерген пыльцы березы капли подъяз. 10ИР/мл 10мл №1 + 300ИР/мл 10мл №2,8 861 ₽,Сталлержен
49,Супрастинекс таб. п.о 5мг №14,571 ₽,Эгис
50,Супрастинекс таб. п.о 5мг №7,326 ₽,Эгис
51,Супрастин таб. 25мг №20,128 ₽,Эгис
52,Супрастин таб. 25мг №40,249 ₽,Эгис
53,Теоритин МФ таб. 4мг №10,652 ₽,Валента фармацевтика
54,Фексадин таб. п.о 120мг №10,474 ₽,Ранбакси
55,Фексадин таб. п.о 180мг №10,678 ₽,Ранбакси
56,Фексофаст таб.п/пл/о 120мг №10,345 ₽,Микро Лабс
57,Фексофаст таб.п/пл/о 180мг №10,481 ₽,Микро Лабс
58,Фенкарол таб. 10мг №20,649 ₽,Олайнфарм
59,Фенкарол таб. 25мг №20,939 ₽,Олайнфарм
60,Цетиризин-АКОС таб. п/п/о 10мг №20,131 ₽,Алиум
61,Цетиризин-АКОС таб. п/п/о 10мг №30,161 ₽,Алиум
62,Цетиризин Вертекс таб. п/о 10мг №10,58 ₽,Вертекс ЛС
63,Цетиризин Вертекс таб. п/о 10мг №20,120 ₽,Вертекс ЛС
64,Цетиризин Вертекс таб. п/о 10мг №30,164 ₽,Вертекс ЛС
65,Цетиризин Озон таб. п/о 10мг №10,49 ₽,Озон МНН
66,Цетиризин таб. п/п/о 10мг №20,103 ₽,Озон МНН
67,Цетиризин таб. п/п/о 10мг №30,151 ₽,Озон МНН
68,Цетиризин таб. п/п/о 10мг №30,201 ₽,Велфарм
69,Цетрин таб. п/о 10мг №20,161 ₽,Др.Реддис
70,Цетрин таб. п/о 10мг №30,242 ₽,Др.Реддис
71,Эзлор Солюшн Таблетс 5мг таб. дисперг. №10,560 ₽,Озон Бренд
72,Эльцет таб. п/о 5мг №14,364 ₽,Алиум
73,Эльцет таб. п/о 5мг №7,204 ₽,Алиум
74,Эриус таб. п/о 5мг №10,1 199 ₽,Байер Консъюмер
75,Эриус таб.п/п/о 5мг №20,1 779 ₽,Байер Консъюмер
76,Эспа-бастин таб. п/о 10мг №10,472 ₽,Эспарма
77,Эспа-бастин таб. п/о 20мг №10,565 ₽,Эспарма
78,Димедрол р-р в/в и в/м 1% 1мл №10,42 ₽,Дальхимфарм
79,Кальция глюконат р-р в/в и в/м 10% 10мл №10,169 ₽,Дальхимфарм
80,Кальция глюконат р-р в/в и в/м 10% 5мл №10,95 ₽,Эллара
81,Пипольфен р-р д/ин. 25мг/мл 2мл №10,1 268 ₽,Эгис
82,Супрастин р-р в/в и в/м 20мг/мл 1мл №5,143 ₽,Эгис
83,Хлоропирамин р-р в/в и в/м 20мг/мл 1мл №5,108 ₽,Озон МНН
84,Гистан крем 30мл,298 ₽,Вис
85,Гистан крем 50мл,351 ₽,Вис
86,Псило-бальзам гель 20г,418 ₽,Штада
87,Фенисмарт гель д/наружн. прим. 0.1% 30г,434 ₽,Гленмарк
88,Фенисмарт гель д/наружн. прим. 0.1% 50г,490 ₽,Гленмарк
89,Фенистил гель 0.1% 30г,608 ₽,Хелеон Рус
90,Фенистил гель 0.1% 50г,830 ₽,Хелеон Рус
91,Фенистил эмульсия наружн. 0.1% 8мл №1,660 ₽,Хелеон Рус
92,"Феницитол гель д/наруж. прим. 0,1% 30г",460 ₽,Тульская фармацевтическая фабрика
93,"Феницитол гель д/наруж. прим. 0,1% 50г",560 ₽,Тульская фармацевтическая фабрика
94,Феницитол капли д/приема внутрь 20мл,520 ₽,Тульская фармацевтическая фабрика
95,Азеластин-Ксантис спрей наз. доз. 140мкг/доза 10мл,496 ₽,Ксантис Фарма
96,Виброцил капли наз. 15мл,492 ₽,Хелеон Рус
97,Виброцил спрей наз. доз. 15мл,544 ₽,Хелеон Рус
98,Демефецил капли наз. 0.25+2.5 мг/мл 15мл,345 ₽,Тульская фармацевтическая фабрика
99,Тизин Аллерджи спрей наз. 50мкг/доза 100доз 10мл,558 ₽,ДжейТНЛ
100,Фринозол спрей наз. 15мл,350 ₽,Вертекс ЛС
101,Дезал р-р 0.5мг/мл 100мл,582 ₽,Тева
102,Диазолин 100мг таб. №10,94 ₽,Озон МНН
103,Диазолин 50мг таб. №10,65 ₽,Озон МНН
104,Зиртек капли внутр. 1% 20мл,191 ₽,ЮСБ
105,Зодак капли внутр. 10мг/мл 20мл,193 ₽,Опелла Хелскеа
106,Ксизал капли внутр. 5мг/мл 10мл,515 ₽,ЮСБ
107,Лоратадин-Эколаб сироп 1мг/мл 100мл,94 ₽,Эколаб
108,Супрастинекс капли внутр. 5мг/мл 20мл,433 ₽,Эгис
109,Фенистил капли 0.1% 20мл,646 ₽,Хелеон Рус
110,Цетиризин капли д/приема внутрь 10мг/мл 20мл,180 ₽,Тульская фармацевтическая фабрика
111,"Эритадин сироп 0,5мг/мл 60мл",480 ₽,Тульская фармацевтическая фабрика
112,Эриус сироп 2.5мг/5мл 60мл,1 299 ₽,Байер Консъюмер
113,Атровент Н аэроз. д/ингал. доз. 20мкг/доза 200 доз 10мл,278 ₽,Берингер Ингельхайм
114,Беклазон Эко аэроз. д/ингал. 100мкг/доза 200доз №1,337 ₽,Нортон (Вотерфорд)
115,Беклазон Эко аэроз. д/ингал. 250мкг/доза 200доз №1,471 ₽,Тева
116,Беклометазон аэроз. д/ингал. 100мкг/доза 200доз №1,362 ₽,Биннофарм
117,Беклометазон аэроз. д/ингал. 250мкг/доза 200доз №1,470 ₽,Биннофарм
118,Беклометазон Эйр аэроз. д/ингал. дозир. 250мкг/доза 200доз,432 ₽,ПСК Фарма
119,Беродуал Н аэроз. д/ингал. доз. 20мкг+50мкг/доза 200 доз 10мл,506 ₽,Берингер Ингельхайм
120,Беротек Н аэроз. д/ингал. доз. 100мкг/доза 200 доз 10мл,639 ₽,Берингер Ингельхайм
121,Брезтри Аэросфера аэроз. д/инг дозир. 120доз,3 453 ₽,Астра Зенека
122,Инспиракс аэрозоль 20мкг/доза+50мкг 200доз,411 ₽,Алиум
123,Ипратерол аэрозоль д/инг. доз. 20мкг/доза+50мкг/доза 200доз,453 ₽,Фармстандарт
124,Ланфрилс аэроз. д/ингал. 45 мкг/доза 200доз,480 ₽,Гленмарк
125,Новатрон Нео аэр. д/инг. дозир. 100мкг/доза № 200,148 ₽,Гротекс
126,Респикомб Эйр аэроз. д/ингал. дозир. 100мкг/доза+6мкг/доза 120доз,1 987 ₽,ПСК Фарма
127,Сальбутамол АВ аэроз. д/ингал. доз. 100мкг/доза 200доз 7г,138 ₽,Алтайвитамины
128,Сальбутамол аэроз. д/ингал. доз. 100мкг/доза 200доз 12мл,139 ₽,Алиум
129,Сальбутамол-Фармстандарт аэроз. 100мкг/доза 200доз,151 ₽,Фармстандарт
130,Сальбутамол-Фармстандарт ВЧ аэрозоль для ингал. дозир. 100 мкг/доза 200 доз №1 (баллон с ингал.),154 ₽,Фармстандарт
131,Серетид аэроз. д/ингал. доз. 25мкг+250 мкг/доза. 120доз,2 198 ₽,ГлаксоСмитКляйнТрейдинг
132,Серетид аэроз. д/ингал. доз. 25мкг+50мкг/доза 120доз,1 015 ₽,ГлаксоСмитКляйнТрейдинг
133,"Симбикорт Рапихалер аэр.д/инг. 160мкг/4,5мкг/доза 120доз",2 838 ₽,Астра Зенека
134,Фликсотид аэроз. доз. 125мкг/доза 60 доз,1 335 ₽,ГлаксоСмитКляйнТрейдинг
135,Фликсотид аэроз. доз. 250мкг/доза 60 доз,1 906 ₽,ГлаксоСмитКляйнТрейдинг
136,Формотерол ПСК капс. с пор. д/ингал. 12мкг/доза + устр. д/ингал. №60,614 ₽,ПСК Фарма
137,Фостер аэр. 100мкг+6мкг/доз 120 доз,2 307 ₽,Кьези Фармацеутици СПА
138,Галиум-Хель капли внутр. 30мл,1 047 ₽,Хеель
139,Кленбутерол сироп 0.001мг/мл 100мл,269 ₽,Софарма
140,Кордиамин капли 30мл,135 ₽,Тульская фармацевтическая фабрика
141,Алмонт таб. п/о 4мг №28,1 285 ₽,Тева
142,Алмонт таб. п/о 4мг №98,2 926 ₽,Тева
143,Алмонт таб. п/о 5мг №28,1 343 ₽,Тева
144,Кленбутерол Софарма таб. 0.02мг №50,698 ₽,Софарма
145,Монтелар таб. жев. 4мг №14,830 ₽,Сандоз
146,Монтелар таб. жев. 4мг №28,1 232 ₽,Сандоз
147,Монтелар таб. жев. 5мг №14,883 ₽,Сандоз
148,Монтелар таб. жев. 5мг №28,1 241 ₽,Сандоз
149,Монтелар таб. п/о 10мг №14,889 ₽,Сандоз
150,Монтелар таб. п/о 10мг №28,1 264 ₽,Сандоз
151,Монтелукаст-Алиум таб. п/п/о 10мг №30,990 ₽,Алиум
152,Монтелукаст-Вертекс таб. жеват. 5мг №28,1 122 ₽,Вертекс ЛС
153,Монтелукаст-Вертекс таб. п/п/о 10мг №30,990 ₽,Вертекс ЛС
154,Монтрал МЛ таб. п/о 5мг+10мг №10,479 ₽,Микро Лабс
155,Монтрал МЛ таб. п/о 5мг+10мг №30,979 ₽,Микро Лабс
156,Онбрез Бризхалер капс д/инг 300мкг № 30,1 557 ₽,Новартис Фарма
157,Сингуляр таб. жев. 4мг №14,1 386 ₽,Органон
158,Сингуляр таб. жев. 4мг №28,1 852 ₽,Органон
159,Сингуляр таб. жев. 5мг №14,1 352 ₽,Органон
160,Сингуляр таб. жев. 5мг №28,1 870 ₽,Органон
161,Сингуляр таб. п/о 10мг №28,1 834 ₽,Органон
162,Эуфиллин таб. 150мг №30,34 ₽,Фармстандарт
163,Эуфиллин таб. 150мг №30,28 ₽,Озон МНН
